,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
87,bitcoin-to-neo4j,in3rsha,Import the Bitcoin blockchain in to a Neo4j graph database.,https://github.com/in3rsha/bitcoin-to-neo4j,PHP,2017-05-21T11:39:52Z,2024-08-15T07:07:15Z,208,55,7,GNU General Public License v3.0
88,awesome-knowledge-graphs,frutik,"Graph databases, Knowledge Graphs, SPARQ",https://github.com/frutik/awesome-knowledge-graphs,,2020-03-16T20:14:13Z,2024-09-27T11:51:47Z,75,10,1,
89,CKG,MannLabs,Clinical Knowledge Graph (CKG) is a platform with twofold objective: 1) build a graph database with experimental data and data imported from diverse biomedical databases 2) automate knowledge discovery making use of all the information contained in the graph ,https://github.com/MannLabs/CKG,Jupyter Notebook,2019-02-02T09:21:19Z,2024-10-06T07:24:36Z,432,97,45,MIT License
90,dgraph-docs,dgraph-io,A native GraphQL Database with a graph backend,https://github.com/dgraph-io/dgraph-docs,Shell,2020-12-17T14:38:50Z,2024-09-11T14:10:28Z,35,66,9,Other
91,graphfront,jscomplete,Generate a GraphQL schema for any PostgreSQL database using the database schema information,https://github.com/jscomplete/graphfront,JavaScript,2017-03-13T18:21:35Z,2023-07-17T06:32:05Z,143,12,1,MIT License
92,springboot-graphql-databases,ivangfr,"The goal of this project is to explore GraphQL. For it, we will implement two microservices: author-book-api and book-review-api.",https://github.com/ivangfr/springboot-graphql-databases,Java,2018-10-07T21:29:20Z,2024-08-22T15:35:32Z,23,22,0,
93,PythonDBAGraphs,bobbydurrett,Python graphing scripts for Oracle database tuning,https://github.com/bobbydurrett/PythonDBAGraphs,Python,2016-03-29T21:52:06Z,2024-09-29T14:36:10Z,56,38,0,GNU General Public License v3.0
94,GraphMemory,bradAGI,GraphRAG database - hybrid graph / vector db,https://github.com/bradAGI/GraphMemory,Python,2024-06-01T01:11:58Z,2024-09-21T02:49:59Z,109,10,0,MIT License
95,cypher-for-gremlin,opencypher,Cypher for Gremlin adds Cypher support to any Gremlin graph database.,https://github.com/opencypher/cypher-for-gremlin,Java,2018-01-24T13:27:48Z,2024-09-20T11:30:29Z,356,48,35,Apache License 2.0
96,graphqlize,graphqlize,A Clojure & JVM library for developing GraphQL API instantly from Postgres and MySQL databases,https://github.com/graphqlize/graphqlize,Clojure,2020-01-15T08:52:25Z,2024-05-31T07:41:19Z,290,20,24,Eclipse Public License 2.0
97,arangodb,arangodb,"🥑 ArangoDB is a native multi-model database with flexible data models for documents, graphs, and key-values. Build high performance applications using a convenient SQL-like query language or JavaScript extensions.",https://github.com/arangodb/arangodb,C++,2011-10-26T06:42:00Z,2024-10-04T18:32:10Z,13532,838,786,Other
98,blockchain2graph,straumat,Blockchain2graph extracts blockchain data (bitcoin) and insert them into a graph database (neo4j).,https://github.com/straumat/blockchain2graph,Java,2016-08-24T20:18:04Z,2024-06-23T03:12:08Z,149,32,40,GNU General Public License v3.0
99,graph-databases-in-action,bechbd,,https://github.com/bechbd/graph-databases-in-action,Java,2018-12-30T22:30:31Z,2024-09-14T09:57:56Z,69,13,2,
100,segrada,mkalus,Segrada - Semantic Graph Database,https://github.com/mkalus/segrada,Java,2015-09-07T14:05:23Z,2024-03-31T14:16:40Z,68,14,32,Other
101,graph-nlu,Hyperparticle,Graph NLU is a natural language understanding tool that leverages the power of graph databases,https://github.com/Hyperparticle/graph-nlu,Jupyter Notebook,2017-04-02T18:51:47Z,2024-08-22T02:17:21Z,85,32,0,MIT License
102,jasminegraph,miyurud,Distributed Graph Database Server,https://github.com/miyurud/jasminegraph,C++,2018-09-16T13:50:05Z,2024-08-18T15:11:56Z,18,24,18,Apache License 2.0
103,query-graphs,tableau,"A visualizer for queries - Hyper, Postgres, Tableau",https://github.com/tableau/query-graphs,TypeScript,2016-10-25T18:23:12Z,2024-10-03T01:00:21Z,87,27,11,MIT License
104,tugraph-analytics,TuGraph-family,TuGraph Analytics is a distributed graph compute engine.,https://github.com/TuGraph-family/tugraph-analytics,Java,2023-06-05T02:52:59Z,2024-10-03T04:05:55Z,636,71,18,Apache License 2.0
105,dagoba,dxnn,A tiny in-memory graph database,https://github.com/dxnn/dagoba,JavaScript,2014-07-22T06:31:10Z,2024-09-25T09:13:10Z,108,17,2,MIT License
106,fast-graph,dudikbender,Application integrating FastAPI with a Neo4j graph database.,https://github.com/dudikbender/fast-graph,Python,2020-10-26T12:47:56Z,2024-09-27T11:31:17Z,93,15,2,
107,js-composedb,ceramicstudio,ComposeDB is a decentralized GraphQL database built on Ceramic Network,https://github.com/ceramicstudio/js-composedb,TypeScript,2022-07-06T07:15:37Z,2024-09-17T13:42:47Z,91,35,17,Other
108,helios.js,zuudo,An in-memory graph database for modern browsers.,https://github.com/zuudo/helios.js,JavaScript,2012-07-01T06:23:33Z,2023-09-08T11:12:13Z,248,20,0,MIT License
109,ScalliGraph,TheHive-Project,Scala Framework for web applications using graph database,https://github.com/TheHive-Project/ScalliGraph,Scala,2018-09-02T11:15:29Z,2024-03-08T07:06:38Z,23,27,7,GNU Affero General Public License v3.0
110,pyley,bugthesystem,Python package for an open-source graph database Cayley,https://github.com/bugthesystem/pyley,Python,2014-07-08T21:45:49Z,2024-09-08T02:55:00Z,159,30,3,The Unlicense
111,cqlite,dyedgreen,Embedded graph database,https://github.com/dyedgreen/cqlite,Rust,2021-09-01T21:37:15Z,2024-09-14T11:06:23Z,111,7,2,MIT License
112,related,niho,A high performance distributed graph database.,https://github.com/niho/related,Ruby,2011-09-09T21:35:19Z,2024-06-07T22:05:00Z,130,13,11,MIT License
113,pyTigerGraph,pyTigerGraph,pyTigerGraph is a Python package for interacting with TigerGraph databases.,https://github.com/pyTigerGraph/pyTigerGraph,Python,2020-07-21T16:07:16Z,2024-08-07T18:30:12Z,55,28,20,MIT License
114,cartography,lyft,Cartography is a Python tool that consolidates infrastructure assets and the relationships between them in an intuitive graph view powered by a Neo4j database.,https://github.com/lyft/cartography,Python,2019-02-27T00:16:29Z,2024-10-06T09:35:30Z,2962,331,109,Apache License 2.0
115,GraphKer,amberzovitis,Open Source Tool - Cybersecurity Graph Database in Neo4j,https://github.com/amberzovitis/GraphKer,Cypher,2021-08-30T14:32:56Z,2024-09-27T20:14:58Z,54,11,0,
116,age-viewer,apache,Graph database optimized for fast analysis and real-time data processing. It is provided as an extension to PostgreSQL.,https://github.com/apache/age-viewer,JavaScript,2021-08-19T15:49:10Z,2024-09-30T10:32:16Z,238,235,76,Apache License 2.0
117,Raphtory,Pometry,"Scalable graph analytics database powered by a multithreaded, vectorized temporal engine, written in Rust",https://github.com/Pometry/Raphtory,Rust,2017-05-30T13:15:18Z,2024-10-04T13:38:09Z,336,54,111,GNU General Public License v3.0
118,graph-db,nikita-volkov,An experimental native Haskell graph database,https://github.com/nikita-volkov/graph-db,Haskell,2013-10-02T23:27:20Z,2024-10-01T22:20:35Z,60,11,3,MIT License
119,neo4j_sips,florinpatrascu,Elixir driver for the Neo4j graph database server,https://github.com/florinpatrascu/neo4j_sips,Elixir,2015-10-12T17:24:07Z,2023-10-29T20:35:43Z,81,22,2,MIT License
120,jseg,brandonbloom,"A super simple, in-memory, JS graph database.",https://github.com/brandonbloom/jseg,JavaScript,2015-11-25T17:03:40Z,2024-09-22T16:45:56Z,458,11,1,
121,graph-databases-testsuite,kuzeko,"Docker Images, installation scripts, and testing & benchmarking suite for Graph Databases",https://github.com/kuzeko/graph-databases-testsuite,Groovy,2017-05-03T09:12:24Z,2024-08-01T10:19:58Z,36,9,22,MIT License
122,sql2graph,redapple,helper module to export data from a relational database to a graph database (through CSV files),https://github.com/redapple/sql2graph,Python,2013-04-26T10:06:21Z,2024-07-23T17:08:07Z,48,15,2,MIT License
123,grammes,northwesternmutual,"A Go package built to communicate with Apache TinkerPop™ Graph computing framework using Gremlin; a graph traversal language used by graph databases such as JanusGraph®, MS Cosmos DB, AWS Neptune, and DataStax® Enterprise Graph.",https://github.com/northwesternmutual/grammes,Go,2019-01-11T17:22:58Z,2024-05-28T16:02:39Z,125,45,25,Apache License 2.0
124,FalkorDB,FalkorDB,A super fast Graph Database uses GraphBLAS under the hood for its sparse adjacency matrix graph representation. Our goal is to provide the best Knowledge Graph for LLM (GraphRAG).,https://github.com/FalkorDB/FalkorDB,C,2023-07-20T10:47:51Z,2024-10-06T14:38:35Z,660,25,430,Other
125,vivace-graph-v3,kraison,VivaceGraph version 3. Open source Common Lisp graph database & Prolog implementation. Supersedes http://github.com/kraison/vivace-graph-v2.,https://github.com/kraison/vivace-graph-v3,Common Lisp,2014-01-23T23:03:36Z,2024-09-07T22:11:15Z,152,29,16,Other
126,malnet-graph,safreita1,A large-scale database for graph representation learning,https://github.com/safreita1/malnet-graph,Python,2020-11-25T20:17:47Z,2024-09-26T14:53:15Z,48,13,3,
